ALGERIA|ALGERIA|757187.5230
ALGERIA|ARGENTINA|733261.5125
ALGERIA|BRAZIL|990874.0182
ALGERIA|CANADA|845615.9111
ALGERIA|CHINA|874642.8130
ALGERIA|EGYPT|560068.9379
ALGERIA|ETHIOPIA|1168993.5064
ALGERIA|FRANCE|464213.1211
ALGERIA|GERMANY|177424.8007
ALGERIA|INDIA|571396.5551
ALGERIA|INDONESIA|827448.6144
ALGERIA|IRAN|841209.4123
ALGERIA|IRAQ|699666.0463
ALGERIA|JAPAN|670396.8139
ALGERIA|JORDAN|345671.9210
ALGERIA|KENYA|829721.3237
ALGERIA|MOROCCO|719267.9701
ALGERIA|MOZAMBIQUE|728354.3244
ALGERIA|PERU|436062.3733
ALGERIA|ROMANIA|767061.6929
ALGERIA|RUSSIA|605978.0550
ALGERIA|SAUDI ARABIA|591846.8051
ALGERIA|UNITED KINGDOM|641028.8655
ALGERIA|UNITED STATES|1102321.9604
ALGERIA|VIETNAM|684926.0303
ARGENTINA|ALGERIA|752940.6266
ARGENTINA|ARGENTINA|513008.6979
ARGENTINA|BRAZIL|317335.4260
ARGENTINA|CANADA|1080864.9200
ARGENTINA|CHINA|567794.7697
ARGENTINA|EGYPT|850698.1116
ARGENTINA|ETHIOPIA|721879.7403
ARGENTINA|FRANCE|430504.5535
ARGENTINA|GERMANY|615491.3412
ARGENTINA|INDIA|455769.9945
ARGENTINA|INDONESIA|1025767.8450
ARGENTINA|IRAN|773594.1666
ARGENTINA|IRAQ|961104.9008
ARGENTINA|JAPAN|437567.3598
ARGENTINA|JORDAN|815530.7540
ARGENTINA|KENYA|1059877.9010
ARGENTINA|MOROCCO|983744.2752
ARGENTINA|MOZAMBIQUE|352783.3876
ARGENTINA|PERU|712664.0316
ARGENTINA|ROMANIA|465900.4017
ARGENTINA|RUSSIA|428463.6466
ARGENTINA|SAUDI ARABIA|748409.9970
ARGENTINA|UNITED KINGDOM|695576.1257
ARGENTINA|UNITED STATES|656622.0858
ARGENTINA|VIETNAM|575243.9270
BRAZIL|ALGERIA|575377.5992
BRAZIL|ARGENTINA|314323.8975
BRAZIL|BRAZIL|663910.5433
BRAZIL|CANADA|575291.1599
BRAZIL|CHINA|350091.4664
BRAZIL|EGYPT|755601.9841
BRAZIL|ETHIOPIA|483153.2446
BRAZIL|FRANCE|337573.2456
BRAZIL|GERMANY|498551.3056
BRAZIL|INDIA|975612.4948
BRAZIL|INDONESIA|514300.4254
BRAZIL|IRAN|315491.1039
BRAZIL|IRAQ|551267.5908
BRAZIL|JAPAN|344269.9020
BRAZIL|JORDAN|830015.1709
BRAZIL|KENYA|648391.2067
